Nom de l'artiste,Date d'anniversaire,Titre,Genre,Date de sortie
Sadat X,1968-12-29,Foundation,Hip Hop,1998-09-29
Grand Puba,1966-03-04,Foundation,Hip Hop,1998-09-29
Lord Jamar,1968-09-17,Foundation,Hip Hop,1998-09-29
Sadat X,1968-12-29,Fire In The Hole,Hip Hop,2004-08-10
Grand Puba,1966-03-04,Fire In The Hole,Hip Hop,2004-08-10
Lord Jamar,1968-09-17,Fire In The Hole,Hip Hop,2004-08-10
Sadat X,1968-12-29,Time's Runnin' Out,Hip Hop,2007-08-21
Grand Puba,1966-03-04,Time's Runnin' Out,Hip Hop,2007-08-21
Lord Jamar,1968-09-17,Time's Runnin' Out,Hip Hop,2007-08-21
Molly Neuman,1972-06-18,Pottymouth,Riot Grrrl,1993-06-01
Allison Wolfe,1969-11-09,Pottymouth,Riot Grrrl,1993-06-01
Molly Neuman,1972-06-18,The Real Janelle,Riot Grrrl,1994-01-01
Allison Wolfe,1969-11-09,The Real Janelle,Riot Grrrl,1994-01-01
Molly Neuman,1972-06-18,"Ladies, Women And Girls",Riot Grrrl,2000-10-01
Allison Wolfe,1969-11-09,"Ladies, Women And Girls",Riot Grrrl,2000-10-01
Molly Neuman,1972-06-18,Girls Get Busy,Riot Grrrl,2002-01-01
Allison Wolfe,1969-11-09,Girls Get Busy,Riot Grrrl,2002-01-01
Keith Hoerig,1972-08-04,So Far From Home,Rock,2000-06-20
Reese Roper,1973-06-30,So Far From Home,Rock,2000-06-20
Andrew Verdecchio,1974-01-01,So Far From Home,Rock,2000-06-20
Dennis Culp,1970-04-23,So Far From Home,Rock,2000-06-20
Keith Hoerig,1972-08-04,The Light Of Things Hoped For,Rock,2003-03-25
Reese Roper,1973-06-30,The Light Of Things Hoped For,Rock,2003-03-25
Andrew Verdecchio,1974-01-01,The Light Of Things Hoped For,Rock,2003-03-25
Dennis Culp,1970-04-23,The Light Of Things Hoped For,Rock,2003-03-25
Keith Hoerig,1972-08-04,Anti-Meridian,Space Rock,2008-09-16
Reese Roper,1973-06-30,Anti-Meridian,Space Rock,2008-09-16
Andrew Verdecchio,1974-01-01,Anti-Meridian,Space Rock,2008-09-16
Dennis Culp,1970-04-23,Anti-Meridian,Space Rock,2008-09-16
David Gates,1940-12-11,Bread,Soft Rock,1969-01-01
Michael Botts,1944-12-08,Bread,Soft Rock,1969-01-01
Larry Knechtel,1940-08-04,Bread,Soft Rock,1969-01-01
Robb Royer,1942-12-06,Bread,Soft Rock,1969-01-01
David Gates,1940-12-11,On The Waters,Soft Rock,1970-01-01
Michael Botts,1944-12-08,On The Waters,Soft Rock,1970-01-01
Larry Knechtel,1940-08-04,On The Waters,Soft Rock,1970-01-01
Robb Royer,1942-12-06,On The Waters,Soft Rock,1970-01-01
David Gates,1940-12-11,Manna,Soft Rock,1971-01-01
Michael Botts,1944-12-08,Manna,Soft Rock,1971-01-01
Larry Knechtel,1940-08-04,Manna,Soft Rock,1971-01-01
Robb Royer,1942-12-06,Manna,Soft Rock,1971-01-01
David Gates,1940-12-11,Baby I'm-A Want You,Soft Rock,1972-01-01
Michael Botts,1944-12-08,Baby I'm-A Want You,Soft Rock,1972-01-01
Larry Knechtel,1940-08-04,Baby I'm-A Want You,Soft Rock,1972-01-01
Robb Royer,1942-12-06,Baby I'm-A Want You,Soft Rock,1972-01-01
David Gates,1940-12-11,Guitar Man,Soft Rock,1972-10-01
Michael Botts,1944-12-08,Guitar Man,Soft Rock,1972-10-01
Larry Knechtel,1940-08-04,Guitar Man,Soft Rock,1972-10-01
Robb Royer,1942-12-06,Guitar Man,Soft Rock,1972-10-01
David Gates,1940-12-11,Lost Without Your Love,Soft Rock,1977-01-01
Michael Botts,1944-12-08,Lost Without Your Love,Soft Rock,1977-01-01
Larry Knechtel,1940-08-04,Lost Without Your Love,Soft Rock,1977-01-01
Robb Royer,1942-12-06,Lost Without Your Love,Soft Rock,1977-01-01
Conor Oberst,1980-02-15,A Collection Of Songs Written And Recorded 1995-1997,Indie Rock,1998-01-01
Nathaniel Walcott,1978-03-06,A Collection Of Songs Written And Recorded 1995-1997,Indie Rock,1998-01-01
Maria Taylor,1976-05-21,A Collection Of Songs Written And Recorded 1995-1997,Indie Rock,1998-01-01
Nate Walcott,1978-03-06,A Collection Of Songs Written And Recorded 1995-1997,Indie Rock,1998-01-01
Conor Oberst,1980-02-15,Letting Off The Happiness,Indie Rock,1998-09-02
Nathaniel Walcott,1978-03-06,Letting Off The Happiness,Indie Rock,1998-09-02
Maria Taylor,1976-05-21,Letting Off The Happiness,Indie Rock,1998-09-02
Nate Walcott,1978-03-06,Letting Off The Happiness,Indie Rock,1998-09-02
Conor Oberst,1980-02-15,Every Day And Every Night,Indie Rock,1999-11-01
Nathaniel Walcott,1978-03-06,Every Day And Every Night,Indie Rock,1999-11-01
Maria Taylor,1976-05-21,Every Day And Every Night,Indie Rock,1999-11-01
Nate Walcott,1978-03-06,Every Day And Every Night,Indie Rock,1999-11-01
Conor Oberst,1980-02-15,Fevers And Mirrors,Indie Rock,2000-05-30
Nathaniel Walcott,1978-03-06,Fevers And Mirrors,Indie Rock,2000-05-30
Maria Taylor,1976-05-21,Fevers And Mirrors,Indie Rock,2000-05-30
Nate Walcott,1978-03-06,Fevers And Mirrors,Indie Rock,2000-05-30
Conor Oberst,1980-02-15,Don't Be Frightened Of Turning The Page,Indie Rock,2000-09-21
Nathaniel Walcott,1978-03-06,Don't Be Frightened Of Turning The Page,Indie Rock,2000-09-21
Maria Taylor,1976-05-21,Don't Be Frightened Of Turning The Page,Indie Rock,2000-09-21
Nate Walcott,1978-03-06,Don't Be Frightened Of Turning The Page,Indie Rock,2000-09-21
Conor Oberst,1980-02-15,There Is No Beginning To The Story,Indie Rock,2002-05-06
Nathaniel Walcott,1978-03-06,There Is No Beginning To The Story,Indie Rock,2002-05-06
Maria Taylor,1976-05-21,There Is No Beginning To The Story,Indie Rock,2002-05-06
Nate Walcott,1978-03-06,There Is No Beginning To The Story,Indie Rock,2002-05-06
Conor Oberst,1980-02-15,"Lifted Or The Story Is In The Soil, Keep Your Ear To The Ground",Indie Rock,2000-05-30
Nathaniel Walcott,1978-03-06,"Lifted Or The Story Is In The Soil, Keep Your Ear To The Ground",Indie Rock,2000-05-30
Maria Taylor,1976-05-21,"Lifted Or The Story Is In The Soil, Keep Your Ear To The Ground",Indie Rock,2000-05-30
Nate Walcott,1978-03-06,"Lifted Or The Story Is In The Soil, Keep Your Ear To The Ground",Indie Rock,2000-05-30
Conor Oberst,1980-02-15,A Christmas Album,Indie Rock,2002-12-01
Nathaniel Walcott,1978-03-06,A Christmas Album,Indie Rock,2002-12-01
Maria Taylor,1976-05-21,A Christmas Album,Indie Rock,2002-12-01
Nate Walcott,1978-03-06,A Christmas Album,Indie Rock,2002-12-01
Conor Oberst,1980-02-15,Digital Ash In A Digital Urn,Indie Rock,2005-01-24
Nathaniel Walcott,1978-03-06,Digital Ash In A Digital Urn,Indie Rock,2005-01-24
Maria Taylor,1976-05-21,Digital Ash In A Digital Urn,Indie Rock,2005-01-24
Nate Walcott,1978-03-06,Digital Ash In A Digital Urn,Indie Rock,2005-01-24
Conor Oberst,1980-02-15,"I'm Wide Awake, It's Morning",Indie Rock,2005-01-24
Nathaniel Walcott,1978-03-06,"I'm Wide Awake, It's Morning",Indie Rock,2005-01-24
Maria Taylor,1976-05-21,"I'm Wide Awake, It's Morning",Indie Rock,2005-01-24
Nate Walcott,1978-03-06,"I'm Wide Awake, It's Morning",Indie Rock,2005-01-24
Conor Oberst,1980-02-15,Motion Sickness: Live Recordings,Indie Rock,2005-11-15
Nathaniel Walcott,1978-03-06,Motion Sickness: Live Recordings,Indie Rock,2005-11-15
Maria Taylor,1976-05-21,Motion Sickness: Live Recordings,Indie Rock,2005-11-15
Nate Walcott,1978-03-06,Motion Sickness: Live Recordings,Indie Rock,2005-11-15
Conor Oberst,1980-02-15,Noise Floor (Rarities: 1998-2005),Indie Rock,2006-10-24
Nathaniel Walcott,1978-03-06,Noise Floor (Rarities: 1998-2005),Indie Rock,2006-10-24
Maria Taylor,1976-05-21,Noise Floor (Rarities: 1998-2005),Indie Rock,2006-10-24
Nate Walcott,1978-03-06,Noise Floor (Rarities: 1998-2005),Indie Rock,2006-10-24
Conor Oberst,1980-02-15,Four Winds,Indie Rock,2007-04-02
Nathaniel Walcott,1978-03-06,Four Winds,Indie Rock,2007-04-02
Maria Taylor,1976-05-21,Four Winds,Indie Rock,2007-04-02
Nate Walcott,1978-03-06,Four Winds,Indie Rock,2007-04-02
Conor Oberst,1980-02-15,Cassadaga,Indie Rock,2007-04-09
Nathaniel Walcott,1978-03-06,Cassadaga,Indie Rock,2007-04-09
Maria Taylor,1976-05-21,Cassadaga,Indie Rock,2007-04-09
Nate Walcott,1978-03-06,Cassadaga,Indie Rock,2007-04-09
Conor Oberst,1980-02-15,The People's Key,Indie Rock,2011-02-11
Nathaniel Walcott,1978-03-06,The People's Key,Indie Rock,2011-02-11
Maria Taylor,1976-05-21,The People's Key,Indie Rock,2011-02-11
Nate Walcott,1978-03-06,The People's Key,Indie Rock,2011-02-11
Jimmy Cauty,1956-12-19,Kiss The Lips Of Life,Rock,1986-01-01
Andy Anderson,1951-01-30,Kiss The Lips Of Life,Rock,1986-01-01
Martin Glover,1960-12-27,Kiss The Lips Of Life,Rock,1986-01-01
Eamon Hamilton,1974-01-01,Remember Me,Indie Rock,2001-12-03
Phil Sumner,1990-01-01,Remember Me,Indie Rock,2001-12-03
Eamon Hamilton,1974-01-01,The Decline Of British Sea Power,Indie Rock,2003-06-02
Phil Sumner,1990-01-01,The Decline Of British Sea Power,Indie Rock,2003-06-02
Eamon Hamilton,1974-01-01,The Spirit Of St. Louis,Indie Rock,2004-07-22
Phil Sumner,1990-01-01,The Spirit Of St. Louis,Indie Rock,2004-07-22
Eamon Hamilton,1974-01-01,Open Season,Indie Rock,2005-04-04
Phil Sumner,1990-01-01,Open Season,Indie Rock,2005-04-04
Eamon Hamilton,1974-01-01,Do You Like Rock Music?,Indie Rock,2008-01-14
Phil Sumner,1990-01-01,Do You Like Rock Music?,Indie Rock,2008-01-14
Eamon Hamilton,1974-01-01,Valhalla Dancehall,Indie Rock,2011-01-10
Phil Sumner,1990-01-01,Valhalla Dancehall,Indie Rock,2011-01-10
Michael Kelly Smith,1958-01-01,Britny Fox,Glam Metal,2007-01-01
Michael Kelly Smith,1958-01-01,Britny Fox,Glam Metal,2007-01-01
Greg D’Angelo,1963-12-18,Britny Fox,Glam Metal,2007-01-01
Michael Kelly Smith,1958-01-01,Boys In Heat,Glam Metal,1989-10-01
Michael Kelly Smith,1958-01-01,Boys In Heat,Glam Metal,1989-10-01
Greg D’Angelo,1963-12-18,Boys In Heat,Glam Metal,1989-10-01
Michael Kelly Smith,1958-01-01,Bite Down Hard,Glam Metal,1991-10-29
Michael Kelly Smith,1958-01-01,Bite Down Hard,Glam Metal,1991-10-29
Greg D’Angelo,1963-12-18,Bite Down Hard,Glam Metal,1991-10-29
Michael Kelly Smith,1958-01-01,Springhead Motorshark,Hard Rock,2003-07-29
Michael Kelly Smith,1958-01-01,Springhead Motorshark,Hard Rock,2003-07-29
Greg D’Angelo,1963-12-18,Springhead Motorshark,Hard Rock,2003-07-29
Håkan Hellström,1974-04-02,When We Were Winning,Rock,2003-09-17
Anders Göthberg,1975-10-09,When We Were Winning,Rock,2003-09-17
DM & Jemini,1977-07-29,Broken Bells,Indie Rock,2010-03-05
Danger Mouse,1977-07-29,Broken Bells,Indie Rock,2010-03-05
DM & Jemini,1977-07-29,After The Disco,Indie Rock,2014-01-30
Danger Mouse,1977-07-29,After The Disco,Indie Rock,2014-01-30
Matt Goss,1968-09-28,Push,Dance-Pop,1988-01-01
Craig Logan,1969-04-22,Push,Dance-Pop,1988-01-01
Luke Goss,1968-09-29,Push,Dance-Pop,1988-01-01
Matt Goss,1968-09-28,The Time,Dance-Pop,2010-01-01
Craig Logan,1969-04-22,The Time,Dance-Pop,2010-01-01
Luke Goss,1968-09-29,The Time,Dance-Pop,2010-01-01
Matt Goss,1968-09-28,Changing Faces,Dance-Pop,1991-01-01
Craig Logan,1969-04-22,Changing Faces,Dance-Pop,1991-01-01
Luke Goss,1968-09-29,Changing Faces,Dance-Pop,1991-01-01
Ronnie Dunn,1953-06-01,Brand New Man,Country,1991-08-13
Kix Brooks,1955-05-12,Brand New Man,Country,1991-08-13
Ronnie Dunn,1953-06-01,Hard Workin' Man,Country,1993-02-23
Kix Brooks,1955-05-12,Hard Workin' Man,Country,1993-02-23
Ronnie Dunn,1953-06-01,Waitin' On Sundown,Country,1994-09-27
Kix Brooks,1955-05-12,Waitin' On Sundown,Country,1994-09-27
Ronnie Dunn,1953-06-01,Borderline,Country,1996-04-16
Kix Brooks,1955-05-12,Borderline,Country,1996-04-16
Ronnie Dunn,1953-06-01,The Greatest Hits Collection,Country,2004-10-19
Kix Brooks,1955-05-12,The Greatest Hits Collection,Country,2004-10-19
Ronnie Dunn,1953-06-01,If You See Her,Country,1998-06-02
Kix Brooks,1955-05-12,If You See Her,Country,1998-06-02
Ronnie Dunn,1953-06-01,Tight Rope,Country,1999-09-14
Kix Brooks,1955-05-12,Tight Rope,Country,1999-09-14
Ronnie Dunn,1953-06-01,Steers & Stripes,Country,2001-04-17
Kix Brooks,1955-05-12,Steers & Stripes,Country,2001-04-17
Ronnie Dunn,1953-06-01,Red Dirt Road,Country,2003-07-15
Kix Brooks,1955-05-12,Red Dirt Road,Country,2003-07-15
Ronnie Dunn,1953-06-01,The Greatest Hits Collection II,Country,2004-01-01
Kix Brooks,1955-05-12,The Greatest Hits Collection II,Country,2004-01-01
Ronnie Dunn,1953-06-01,Hillbilly Deluxe,Country,2005-08-30
Kix Brooks,1955-05-12,Hillbilly Deluxe,Country,2005-08-30
Ronnie Dunn,1953-06-01,Cowboy Town,Country,2007-10-02
Kix Brooks,1955-05-12,Cowboy Town,Country,2007-10-02
Ronnie Dunn,1953-06-01,Number 1s... And Then Some,Country,2009-09-08
Kix Brooks,1955-05-12,Number 1s... And Then Some,Country,2009-09-08
Billy Ray Cyrus,1961-08-25,Brother Clyde,Alternative Rock,2010-08-10
Samantha Maloney,1975-12-11,Brother Clyde,Alternative Rock,2010-08-10
Nathan Moore,1965-01-10,Get Even,Electronic,1988-01-01
Eg White,1966-11-22,Get Even,Electronic,1988-01-01
Tony Burrows,1942-04-14,United We Stand,Pop,1970-01-01
Sandra Stevens,1949-11-23,United We Stand,Pop,1970-01-01
Nicky Stevens,1951-12-03,United We Stand,Pop,1970-01-01
Lee Sheriden,1949-04-11,United We Stand,Pop,1970-01-01
Martin Lee,1949-11-26,United We Stand,Pop,1970-01-01
Tony Burrows,1942-04-14,Love And Kisses From Brotherhood Of Man,Pop,1976-01-01
Sandra Stevens,1949-11-23,Love And Kisses From Brotherhood Of Man,Pop,1976-01-01
Nicky Stevens,1951-12-03,Love And Kisses From Brotherhood Of Man,Pop,1976-01-01
Lee Sheriden,1949-04-11,Love And Kisses From Brotherhood Of Man,Pop,1976-01-01
Martin Lee,1949-11-26,Love And Kisses From Brotherhood Of Man,Pop,1976-01-01
Tony Burrows,1942-04-14,B For Brotherhood,Pop,1978-01-01
Sandra Stevens,1949-11-23,B For Brotherhood,Pop,1978-01-01
Nicky Stevens,1951-12-03,B For Brotherhood,Pop,1978-01-01
Lee Sheriden,1949-04-11,B For Brotherhood,Pop,1978-01-01
Martin Lee,1949-11-26,B For Brotherhood,Pop,1978-01-01
Tony Burrows,1942-04-14,Higher Than High,Pop,1979-01-01
Sandra Stevens,1949-11-23,Higher Than High,Pop,1979-01-01
Nicky Stevens,1951-12-03,Higher Than High,Pop,1979-01-01
Lee Sheriden,1949-04-11,Higher Than High,Pop,1979-01-01
Martin Lee,1949-11-26,Higher Than High,Pop,1979-01-01
Cub Koda,1948-10-01,Yeah!,Rock,2005-04-19
Bruce Nazarian,1949-01-01,Yeah!,Rock,2005-04-19
Allan Holdsworth,1946-08-06,Feels Good To Me,Jazz Fusion,1978-08-01
Bill Bruford,1949-05-17,Feels Good To Me,Jazz Fusion,1978-08-01
Allan Holdsworth,1946-08-06,One Of A Kind,Jazz Fusion,1979-01-01
Bill Bruford,1949-05-17,One Of A Kind,Jazz Fusion,1979-01-01
Allan Holdsworth,1946-08-06,Gradually Going Tornado,Jazz Fusion,1980-01-01
Bill Bruford,1949-05-17,Gradually Going Tornado,Jazz Fusion,1980-01-01
Josh Todd,1971-04-04,Buckcherry,Hard Rock,1999-04-06
Kelly LeMieux,1967-04-07,Buckcherry,Hard Rock,1999-04-06
Josh Todd,1971-04-04,Time Bomb,Hard Rock,2001-01-01
Kelly LeMieux,1967-04-07,Time Bomb,Hard Rock,2001-01-01
Josh Todd,1971-04-04,15,Hard Rock,2006-11-29
Kelly LeMieux,1967-04-07,15,Hard Rock,2006-11-29
Josh Todd,1971-04-04,Black Butterfly,Hard Rock,2008-09-16
Kelly LeMieux,1967-04-07,Black Butterfly,Hard Rock,2008-09-16
Josh Todd,1971-04-04,All Night Long,Hard Rock,2010-08-03
Kelly LeMieux,1967-04-07,All Night Long,Hard Rock,2010-08-03
今井寿,1965-10-21,悪の華,Rock,1990-02-01
櫻井敦司,1966-03-07,悪の華,Rock,1990-02-01
今井寿,1965-10-21,狂った太陽,Rock,2007-09-05
櫻井敦司,1966-03-07,狂った太陽,Rock,2007-09-05
今井寿,1965-10-21,十三階は月光,Gothic Rock,2005-04-06
櫻井敦司,1966-03-07,十三階は月光,Gothic Rock,2005-04-06
